posicion,candidate_id,titulo_castellano,titulo_original,release_year,presencia_otono_refinada,paisaje_paleta_refinada,clima_vestuario_refinada,rituales_espacios_refinada,tono_otonal_refinada,indice_otonalidad_refinado,confianza_refinada,notas_revision
1,38,La tormenta de hielo,The Ice Storm,1997,3.0,2.5,3.0,3.0,3.0,96.7,alta,"Acción de Gracias, el clima y la crisis familiar convierten el otoño en estructura narrativa."
1,13,Las normas de la casa de la sidra,The Cider House Rules,1999,3.0,3.0,2.5,3.0,3.0,96.7,alta,"El huerto, la sidra, la cosecha y el paisaje de Maine son centrales."
2,138,Cuando cae el otoño,When Fall Is Coming,2024,3.0,3.0,2.5,2.5,3.0,93.3,alta,El otoño rural francés es explícito y decisivo en la narración y la imagen.
3,108,Ana de las Tejas Verdes,Anne of Green Gables,1985,2.5,3.0,2.5,2.5,3.0,90.0,alta,"Los paisajes, la vida rural y la sensibilidad de Anne producen una asociación otoñal muy fuerte."
3,30,Beneath the Harvest Sky,Beneath the Harvest Sky,2013,3.0,2.5,2.5,3.0,2.5,90.0,alta,La cosecha y el paisaje rural sitúan claramente la historia en otoño.
3,50,Cuento de otoño,A Tale of Autumn,1998,3.0,3.0,2.0,3.0,2.5,90.0,alta,"El viñedo, la vendimia y el paisaje rural construyen un otoño explícito."
3,143,El mito de las huellas dactilares,The Myth of Fingerprints,1997,3.0,2.0,2.5,3.0,3.0,90.0,alta,La reunión de Acción de Gracias estructura el drama familiar.
3,29,Esencia de mujer,Scent of a Woman,1992,3.0,2.0,2.5,3.0,3.0,90.0,alta,"La historia transcurre durante Acción de Gracias y combina campus, ciudad y nostalgia."
3,36,Hannah y sus hermanas,Hannah and Her Sisters,1986,3.0,2.0,2.5,3.0,3.0,90.0,alta,"Acción de Gracias estructura la narración y se combina con clima fresco, reuniones familiares y un tono melancólico."
3,154,La casa del sí,The House of Yes,1997,3.0,1.5,3.0,3.0,3.0,90.0,alta,"Acción de Gracias, la tormenta y el espacio doméstico dominan el relato."
3,15,Lejos del cielo,Far from Heaven,2002,3.0,3.0,2.5,2.0,3.0,90.0,alta,El follaje de Connecticut y la paleta cálida articulan el melodrama.
3,94,Mejor solo que mal acompañado,"Planes, Trains and Automobiles",1987,3.0,2.0,3.0,3.0,2.5,90.0,alta,"El viaje de Acción de Gracias combina clima tardío, desplazamiento y calidez emocional."
3,3,Otoño en Nueva York,Autumn in New York,2000,3.0,3.0,2.5,2.0,3.0,90.0,alta,El otoño neoyorquino domina la ambientación romántica y visual.
3,40,Petite maman,Petite Maman,2021,3.0,3.0,2.5,2.0,3.0,90.0,alta,El bosque otoñal y el tono íntimo dominan la experiencia de la película.
3,51,Prácticamente magia,Practical Magic,1998,2.5,3.0,2.5,2.5,3.0,90.0,alta,"La Nueva Inglaterra otoñal, la botánica, los interiores y el tono familiar construyen una identidad estacional muy fuerte."
3,4,Quédate a mi lado,Stepmom,1998,2.5,3.0,2.5,2.5,3.0,90.0,alta,"El paisaje, el vestuario, la vida familiar y la melancolía hacen del otoño una presencia visual y emocional decisiva."
3,19,Sólo el cielo lo sabe,All That Heaven Allows,1955,3.0,3.0,2.5,2.0,3.0,90.0,alta,El paisaje suburbano de Nueva Inglaterra presenta un otoño dominante.
3,2,Tienes un e-mail,You've Got Mail,1998,2.5,3.0,2.5,2.5,3.0,90.0,alta,"Nueva York, las librerías, el vestuario y el romance convierten el otoño en una parte central de su identidad."
4,74,Acción de Gracias con Charlie Brown,A Charlie Brown Thanksgiving,1973,3.0,2.5,2.0,3.0,2.5,86.7,alta,Acción de Gracias y los motivos estacionales son el centro del relato.
